TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
TOR,TOR vs. BOS,2022-03-28,W,36,80,33,69,0.4782608695652174,5,20,0.25,9,14,0.6428571428571429,7,25,32,11,8,8,5,17,0,1
SAS,SAS @ HOU,2022-03-28,W,36,96,40,80,0.5,6,24,0.25,10,13,0.7692307692307693,12,31,43,23,9,9,4,14,12,0
SAC,SAC @ MIA,2022-03-28,L,36,68,25,58,0.43103448275862066,9,24,0.375,9,13,0.6923076923076923,4,21,25,16,10,3,2,8,-25,0
POR,POR vs. OKC,2022-03-28,L,36,89,34,76,0.4473684210526316,16,36,0.4444444444444444,5,7,0.7142857142857143,13,22,35,22,4,12,3,14,8,1
ORL,ORL @ CLE,2022-03-28,L,36,80,34,67,0.5074626865671642,7,24,0.2916666666666667,5,10,0.5,6,24,30,24,11,6,0,17,-1,0
OKC,OKC @ POR,2022-03-28,W,36,81,30,58,0.5172413793103449,12,31,0.3870967741935484,9,14,0.6428571428571429,6,29,35,22,16,2,1,8,-8,0
NYK,NYK vs. CHI,2022-03-28,W,36,81,30,70,0.42857142857142855,8,26,0.3076923076923077,13,20,0.65,11,26,37,14,6,4,3,15,6,1
MIA,MIA vs. SAC,2022-03-28,W,36,93,36,69,0.5217391304347826,16,31,0.5161290322580645,5,5,1.0,8,31,39,25,10,5,0,14,25,1
MEM,MEM vs. GSW,2022-03-28,W,36,95,34,74,0.4594594594594595,9,24,0.375,18,27,0.6666666666666666,10,30,40,18,6,7,3,15,28,1
IND,IND vs. ATL,2022-03-28,L,36,90,34,67,0.5074626865671642,14,29,0.4827586206896552,8,10,0.8,5,16,21,25,12,6,5,13,-12,1
HOU,HOU vs. SAS,2022-03-28,L,36,84,27,67,0.40298507462686567,14,35,0.4,16,19,0.8421052631578947,6,24,30,20,10,4,6,13,-12,1
GSW,GSW @ MEM,2022-03-28,L,36,67,23,63,0.36507936507936506,7,24,0.2916666666666667,14,18,0.7777777777777778,7,28,35,12,12,2,5,21,-28,0
DEN,DEN @ CHA,2022-03-28,W,36,93,36,69,0.5217391304347826,11,26,0.4230769230769231,10,13,0.7692307692307693,12,27,39,27,13,5,3,14,9,0
CLE,CLE vs. ORL,2022-03-28,W,36,81,29,61,0.47540983606557374,10,32,0.3125,13,15,0.8666666666666667,5,26,31,21,14,6,3,8,1,1
CHI,CHI @ NYK,2022-03-28,L,36,75,24,60,0.4,5,21,0.23809523809523808,22,24,0.9166666666666666,6,28,34,13,12,6,1,15,-6,0
CHA,CHA vs. DEN,2022-03-28,L,36,84,34,71,0.4788732394366197,8,30,0.26666666666666666,8,12,0.6666666666666666,7,22,29,25,12,9,2,11,-9,1
BOS,BOS @ TOR,2022-03-28,L,36,80,30,69,0.43478260869565216,8,27,0.2962962962962963,12,14,0.8571428571428571,11,30,41,17,15,4,7,9,0,0
ATL,ATL @ IND,2022-03-28,W,36,102,39,69,0.5652173913043478,15,30,0.5,9,11,0.8181818181818182,10,22,32,26,12,10,3,13,12,0
WAS,WAS vs. GSW,2022-03-27,W,36,92,35,67,0.5223880597014925,14,24,0.5833333333333334,8,9,0.8888888888888888,5,26,31,26,7,3,4,16,11,1
