TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
POR,POR @ NOP,2022-04-07,L,12,18,8,19,42.1,2,10,20.0,0,0,0.0,0,7,7,5,4,4,2,7,-8,0
PHI,PHI @ TOR,2022-04-07,L,12,29,8,19,42.1,3,10,30.0,10,10,100.0,4,6,10,4,4,0,0,4,-3,0
ORL,ORL @ CHA,2022-04-07,L,12,19,7,24,29.2,3,15,20.0,2,3,66.7,3,8,11,5,4,1,1,5,-12,0
NOP,NOP vs. POR,2022-04-07,W,12,26,7,25,28.0,2,11,18.2,10,11,90.9,9,9,18,4,4,2,0,2,8,1
MIN,MIN vs. SAS,2022-04-07,W,12,30,7,19,36.8,5,14,35.7,11,13,84.6,2,6,8,4,3,0,0,10,-9,1
MIL,MIL vs. BOS,2022-04-07,W,12,25,9,21,42.9,4,9,44.4,3,5,60.0,2,7,9,4,2,4,1,4,1,1
MEM,MEM @ DEN,2022-04-07,L,12,31,12,24,50.0,2,7,28.6,5,6,83.3,4,11,15,9,3,3,1,2,14,0
LAL,LAL @ GSW,2022-04-07,L,12,28,8,17,47.1,3,6,50.0,9,13,69.2,1,8,9,1,7,1,1,6,-9,0
GSW,GSW vs. LAL,2022-04-07,W,12,37,14,27,51.9,5,10,50.0,4,4,100.0,5,8,13,11,3,3,2,9,9,1
DEN,DEN vs. MEM,2022-04-07,W,12,17,7,21,33.3,1,9,11.1,2,2,100.0,3,9,12,2,6,2,0,6,-14,1
CHA,CHA vs. ORL,2022-04-07,W,12,31,12,23,52.2,4,8,50.0,3,6,50.0,3,15,18,10,4,2,1,4,12,1
BOS,BOS @ MIL,2022-04-07,L,12,24,10,20,50.0,3,10,30.0,1,3,33.3,4,10,14,3,5,2,1,4,-1,0
WAS,WAS @ ATL,2022-04-06,L,12,20,8,19,42.1,2,8,25.0,2,2,100.0,1,10,11,5,3,1,2,1,-3,0
UTA,UTA vs. OKC,2022-04-06,W,12,31,12,23,52.2,4,13,30.8,3,5,60.0,4,10,14,7,4,3,4,2,15,1
PHX,PHX @ LAC,2022-04-06,L,12,48,18,32,56.3,9,17,52.9,3,3,100.0,5,11,16,13,2,5,2,10,22,0
OKC,OKC @ UTA,2022-04-06,L,12,16,6,21,28.6,2,8,25.0,2,4,50.0,4,9,13,3,4,2,0,5,-15,0
NYK,NYK vs. BKN,2022-04-06,L,12,16,4,15,26.7,1,5,20.0,7,11,63.6,2,4,6,1,4,0,1,7,-22,1
LAC,LAC vs. PHX,2022-04-06,W,12,26,6,19,31.6,3,9,33.3,11,15,73.3,4,7,11,6,5,1,0,5,-22,1
DET,DET vs. DAL,2022-04-06,L,12,27,8,18,44.4,2,7,28.6,9,9,100.0,1,11,12,6,4,1,1,3,-5,1
DAL,DAL @ DET,2022-04-06,W,12,32,11,22,50.0,5,8,62.5,5,5,100.0,0,8,8,9,1,3,1,6,5,0
CHI,CHI vs. BOS,2022-04-06,L,12,27,10,20,50.0,2,4,50.0,5,9,55.6,1,9,10,8,4,2,0,6,1,1
BOS,BOS @ CHI,2022-04-06,W,12,26,8,18,44.4,3,7,42.9,7,7,100.0,0,9,9,5,5,3,2,5,-1,0
BKN,BKN @ NYK,2022-04-06,W,12,38,14,24,58.3,7,15,46.7,3,4,75.0,4,9,13,11,3,2,1,9,22,0
ATL,ATL vs. WAS,2022-04-06,W,12,23,9,21,42.9,5,14,35.7,0,0,0.0,0,10,10,3,2,3,0,4,3,1
WAS,WAS @ MIN,2022-04-05,W,12,31,14,29,48.3,1,6,16.7,2,2,100.0,5,14,19,9,2,0,1,6,10,0
UTA,UTA vs. MEM,2022-04-05,W,12,27,7,19,36.8,2,10,20.0,11,19,57.9,1,14,15,5,3,3,5,4,0,1
TOR,TOR vs. ATL,2022-04-05,W,12,29,8,21,38.1,4,11,36.4,9,11,81.8,4,11,15,5,3,2,0,3,4,1
SAS,SAS @ DEN,2022-04-05,W,12,31,10,17,58.8,4,5,80.0,7,11,63.6,0,11,11,7,3,1,0,4,13,0
SAC,SAC vs. NOP,2022-04-05,L,12,25,8,19,42.1,4,10,40.0,5,6,83.3,0,5,5,6,3,3,1,3,-3,1
POR,POR @ OKC,2022-04-05,L,12,12,5,19,26.3,2,10,20.0,0,0,0.0,1,5,6,2,4,2,1,3,-19,0
PHX,PHX vs. LAL,2022-04-05,W,12,23,9,24,37.5,4,13,30.8,1,1,100.0,3,10,13,7,7,1,0,6,-7,1
PHI,PHI @ IND,2022-04-05,W,12,24,7,18,38.9,2,4,50.0,8,8,100.0,1,8,9,6,4,4,1,1,1,0
ORL,ORL vs. CLE,2022-04-05,W,12,29,10,19,52.6,3,7,42.9,6,10,60.0,2,8,10,6,2,3,3,4,0,1
OKC,OKC vs. POR,2022-04-05,W,12,31,12,22,54.5,5,11,45.5,2,4,50.0,5,12,17,6,4,3,3,0,19,1
NOP,NOP @ SAC,2022-04-05,W,12,28,11,22,50.0,2,3,66.7,4,4,100.0,6,10,16,6,6,2,1,6,3,0
MIN,MIN vs. WAS,2022-04-05,L,12,21,7,22,31.8,2,13,15.4,5,6,83.3,0,8,8,4,1,2,1,3,-10,1
MIL,MIL @ CHI,2022-04-05,W,12,31,9,20,45.0,3,9,33.3,10,12,83.3,2,8,10,7,6,5,4,8,7,0
MIA,MIA vs. CHA,2022-04-05,W,12,42,10,19,52.6,7,13,53.8,15,17,88.2,3,11,14,7,3,4,0,6,24,1
MEM,MEM @ UTA,2022-04-05,L,12,27,9,27,33.3,5,11,45.5,4,5,80.0,2,12,14,8,3,2,2,11,0,0
LAL,LAL @ PHX,2022-04-05,L,12,30,12,23,52.2,2,8,25.0,4,7,57.1,2,11,13,6,3,2,0,3,7,0
IND,IND vs. PHI,2022-04-05,L,12,23,9,19,47.4,4,8,50.0,1,2,50.0,2,7,9,7,7,1,5,6,-1,1
HOU,HOU @ BKN,2022-04-05,L,12,31,12,25,48.0,3,9,33.3,4,8,50.0,3,8,11,5,3,2,0,5,3,0
DEN,DEN vs. SAS,2022-04-05,L,12,18,7,25,28.0,0,10,0.0,4,5,80.0,5,9,14,3,4,1,0,9,-13,1
CLE,CLE @ ORL,2022-04-05,L,12,29,12,24,50.0,3,10,30.0,2,3,66.7,3,9,12,8,3,2,1,7,0,0
CHI,CHI vs. MIL,2022-04-05,L,12,24,9,22,40.9,1,7,14.3,5,5,100.0,2,9,11,6,7,3,1,8,-7,1
CHA,CHA @ MIA,2022-04-05,L,12,18,6,21,28.6,0,9,0.0,6,8,75.0,5,5,10,4,5,1,0,8,-24,0
BKN,BKN vs. HOU,2022-04-05,W,12,28,9,21,42.9,2,7,28.6,8,9,88.9,3,7,10,4,6,2,3,6,-3,1
ATL,ATL @ TOR,2022-04-05,L,12,25,8,21,38.1,4,9,44.4,5,6,83.3,2,9,11,5,3,1,1,6,-4,0
