index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season,PTS/Q
65,LAL,LAL @ GSW,2022-04-07,L,36,84,29,66,0.4393939393939394,6,26,0.2307692307692307,20,25,0.8,7,26,33,13,12,7,3,7,-7,0,GSW,91,37,70,0.5285714285714286,11,22,0.5,6,6,1.0,4,28,32,28,12,7,3,17,79.887,79.887,106.51599999999999,105.14852228773141,113.91089914504238,-16,2022-04-07,24,28.0
66,GSW,GSW vs. LAL,2022-04-07,W,36,91,37,70,0.5285714285714286,11,22,0.5,6,6,1.0,4,28,32,28,12,7,3,17,7,1,LAL,84,29,66,0.4393939393939394,6,26,0.2307692307692307,20,25,0.8,7,26,33,13,12,7,3,7,79.887,79.887,106.51599999999999,113.91089914504238,105.14852228773141,16,2022-04-07,24,30.333333333333332
68,CHA,CHA vs. ORL,2022-04-07,W,36,97,36,69,0.5217391304347826,8,26,0.3076923076923077,17,21,0.8095238095238095,7,31,38,19,8,7,9,13,15,1,ORL,82,31,71,0.4366197183098591,12,33,0.3636363636363636,8,10,0.8,5,27,32,22,12,5,3,17,79.59292483660131,79.59292483660131,106.12389978213508,121.87012878234364,103.02423257888844,27,2022-04-07,24,32.333333333333336
69,BOS,BOS @ MIL,2022-04-07,L,36,97,33,67,0.4925373134328358,18,40,0.45,13,16,0.8125,4,26,30,27,11,6,3,11,-5,0,MIL,102,40,76,0.5263157894736842,10,29,0.3448275862068966,12,16,0.75,12,27,39,23,9,9,4,15,79.47079796264856,79.47079796264856,105.96106395019808,122.05741289472165,128.34903211609907,-6,2022-04-07,24,32.333333333333336
70,WAS,WAS @ ATL,2022-04-06,L,36,83,34,67,0.5074626865671642,8,27,0.2962962962962963,7,9,0.7777777777777778,5,28,33,21,11,3,2,16,-12,0,ATL,95,34,71,0.4788732394366197,11,25,0.44,16,19,0.8421052631578947,7,22,29,23,4,8,1,9,74.87155555555555,74.87155555555555,99.82874074074073,110.85651871946625,126.88396720902762,-15,2022-04-06,24,27.666666666666668
74,NYK,NYK vs. BKN,2022-04-06,L,36,82,28,68,0.4117647058823529,12,33,0.3636363636363636,14,25,0.56,8,28,36,21,7,4,6,12,10,1,BKN,72,27,69,0.391304347826087,7,26,0.2692307692307692,11,14,0.7857142857142857,9,27,36,17,11,5,5,17,74.94289575289575,74.94289575289575,99.92386100386099,109.41664206621155,96.0731491313077,-12,2022-04-06,24,27.333333333333332
76,DET,DET vs. DAL,2022-04-06,L,36,86,27,64,0.421875,9,23,0.391304347826087,23,26,0.8846153846153846,10,20,30,20,7,6,4,18,-13,1,DAL,99,34,58,0.5862068965517241,10,25,0.4,21,29,0.7241379310344828,8,25,33,19,9,5,0,18,70.67571428571429,70.67571428571429,94.23428571428572,121.68253390738381,140.07640531198834,-18,2022-04-06,24,28.666666666666668
77,DAL,DAL @ DET,2022-04-06,W,36,99,34,58,0.5862068965517241,10,25,0.4,21,29,0.7241379310344828,8,25,33,19,9,5,0,18,13,0,DET,86,27,64,0.421875,9,23,0.391304347826087,23,26,0.8846153846153846,10,20,30,20,7,6,4,18,70.67571428571429,70.67571428571429,94.23428571428572,140.07640531198834,121.68253390738381,18,2022-04-06,24,33.0
80,BKN,BKN @ NYK,2022-04-06,W,36,72,27,69,0.391304347826087,7,26,0.2692307692307692,11,14,0.7857142857142857,9,27,36,17,11,5,5,17,-10,0,NYK,82,28,68,0.4117647058823529,12,33,0.3636363636363636,14,25,0.56,8,28,36,21,7,4,6,12,74.94289575289575,74.94289575289575,99.92386100386099,96.0731491313077,109.41664206621155,12,2022-04-06,24,24.0
81,ATL,ATL vs. WAS,2022-04-06,W,36,95,34,71,0.4788732394366197,11,25,0.44,16,19,0.8421052631578947,7,22,29,23,4,8,1,9,12,1,WAS,83,34,67,0.5074626865671642,8,27,0.2962962962962963,7,9,0.7777777777777778,5,28,33,21,11,3,2,16,74.87155555555555,74.87155555555555,99.82874074074073,126.88396720902762,110.85651871946625,15,2022-04-06,24,31.666666666666668
82,WAS,WAS @ MIN,2022-04-05,W,36,101,42,72,0.5833333333333334,12,24,0.5,5,12,0.4166666666666667,4,29,33,29,8,4,3,19,8,0,MIN,93,34,69,0.4927536231884058,12,28,0.4285714285714285,13,19,0.6842105263157895,6,24,30,23,9,4,2,13,79.69714285714285,79.69714285714285,106.26285714285713,126.72976267297629,116.69176166917619,18,2022-04-05,24,33.666666666666664
83,UTA,UTA vs. MEM,2022-04-05,W,36,83,30,65,0.4615384615384615,9,24,0.375,14,18,0.7777777777777778,5,29,34,17,13,5,3,15,0,1,MEM,83,29,69,0.4202898550724637,8,16,0.5,17,20,0.85,8,27,35,18,8,10,3,14,77.54719172297297,77.54719172297297,103.39625563063062,107.03159992757246,107.03159992757246,0,2022-04-05,24,27.666666666666668
84,TOR,TOR vs. ATL,2022-04-05,W,36,89,36,80,0.45,5,24,0.2083333333333333,12,20,0.6,16,29,45,15,5,4,5,11,6,1,ATL,83,35,73,0.4794520547945205,10,28,0.3571428571428571,3,6,0.5,8,24,32,26,4,4,3,16,72.38832432432433,72.38832432432433,96.51776576576577,122.94800415775575,114.65937466397446,10,2022-04-05,24,29.666666666666668
85,SAS,SAS @ DEN,2022-04-05,W,36,85,34,72,0.4722222222222222,8,21,0.3809523809523809,9,13,0.6923076923076923,5,32,37,24,8,5,3,10,6,0,DEN,79,34,73,0.4657534246575342,7,23,0.3043478260869565,4,7,0.5714285714285714,5,32,37,19,7,3,2,10,78.4331081081081,78.4331081081081,104.57747747747746,108.37260189005953,100.72277116840826,19,2022-04-05,24,28.333333333333332
86,SAC,SAC vs. NOP,2022-04-05,L,36,84,31,57,0.543859649122807,7,20,0.35,15,16,0.9375,3,26,29,22,12,1,2,17,-11,1,NOP,95,34,66,0.5151515151515151,10,22,0.4545454545454545,17,22,0.7727272727272727,8,20,28,20,7,11,1,14,72.75741687979539,72.75741687979539,97.00988917306051,115.45214715192378,130.57088070753284,-14,2022-04-05,24,28.0
87,POR,POR @ OKC,2022-04-05,L,36,82,30,64,0.46875,9,22,0.4090909090909091,13,16,0.8125,9,25,34,22,13,8,5,16,15,0,OKC,67,27,59,0.4576271186440678,4,18,0.2222222222222222,9,18,0.5,8,22,30,9,13,9,9,10,71.86872922776149,71.86872922776149,95.82497230368199,114.09691096684229,93.22552481437116,-4,2022-04-05,24,27.333333333333332
88,PHX,PHX vs. LAL,2022-04-05,W,36,98,41,78,0.5256410256410257,10,26,0.3846153846153846,6,8,0.75,8,32,40,31,7,9,4,16,18,1,LAL,80,27,63,0.4285714285714285,7,21,0.3333333333333333,19,23,0.8260869565217391,5,28,33,16,13,5,3,11,79.69840840840841,79.69840840840841,106.26454454454455,122.9635596959559,100.37841607833133,11,2022-04-05,24,32.666666666666664
89,PHI,PHI @ IND,2022-04-05,W,36,107,40,69,0.5797101449275363,21,36,0.5833333333333334,6,10,0.6,4,23,27,28,12,4,2,13,8,0,IND,99,36,76,0.4736842105263157,8,32,0.25,19,19,1.0,14,25,39,22,9,7,5,12,78.5627027027027,78.5627027027027,104.75027027027025,136.19694373920643,126.01399467459287,9,2022-04-05,24,35.666666666666664
90,ORL,ORL vs. CLE,2022-04-05,W,36,91,37,74,0.5,13,28,0.4642857142857143,4,5,0.8,6,27,33,25,5,6,5,15,5,1,CLE,86,30,62,0.4838709677419355,13,26,0.5,13,19,0.6842105263157895,6,29,35,17,9,4,3,4,73.29384415584416,73.29384415584416,97.72512554112554,124.15776665569263,117.3359113449403,5,2022-04-05,24,30.333333333333332
91,OKC,OKC vs. POR,2022-04-05,W,36,67,27,59,0.4576271186440678,4,18,0.2222222222222222,9,18,0.5,8,22,30,9,13,9,9,10,-15,1,POR,82,30,64,0.46875,9,22,0.4090909090909091,13,16,0.8125,9,25,34,22,13,8,5,16,71.86872922776149,71.86872922776149,95.82497230368199,93.22552481437116,114.09691096684229,4,2022-04-05,24,22.333333333333332
92,NOP,NOP @ SAC,2022-04-05,W,36,95,34,66,0.5151515151515151,10,22,0.4545454545454545,17,22,0.7727272727272727,8,20,28,20,7,11,1,14,11,0,SAC,84,31,57,0.543859649122807,7,20,0.35,15,16,0.9375,3,26,29,22,12,1,2,17,72.75741687979539,72.75741687979539,97.00988917306051,130.57088070753284,115.45214715192378,14,2022-04-05,24,31.666666666666668
93,MIN,MIN vs. WAS,2022-04-05,L,36,93,34,69,0.4927536231884058,12,28,0.4285714285714285,13,19,0.6842105263157895,6,24,30,23,9,4,2,13,-8,1,WAS,101,42,72,0.5833333333333334,12,24,0.5,5,12,0.4166666666666667,4,29,33,29,8,4,3,19,79.69714285714285,79.69714285714285,106.26285714285713,116.69176166917619,126.72976267297629,-18,2022-04-05,24,31.0
